_id,username,uid,attraction_review_name,nb_cities_visited,src,nb_contributions
ObjectID(5c2f6154aed9643f90b00541),"Passenger16111","687DC06D924B00C535B9D731790DC866","Tour de Londres","1 ville visitée","1354159","1 contribution"
ObjectID(5c2f6156aed9643f90b00542),"JWB_FCTW","88995608B68F8BA0822D288735C95B41","Tour de Londres","18","1519159","19"
ObjectID(5c2f6159aed9643f90b00543),"Jet23543","32EFB6BF2B3AED09546EFADB53B52635","Tour de Londres","1 ville visitée","1550153","4"
ObjectID(5c2f615caed9643f90b00544),"Footprints10104","06CE9958405D5317C914DDDE0D956C27","Tour de Londres","1 ville visitée","1626183","1 contribution"
ObjectID(5c2f615faed9643f90b00545),"Discover25389","3C78A92CBD854FF0859E2B200817F6E5","Tour de Londres","1 ville visitée","1660363","1 contribution"
ObjectID(5c2f6161aed9643f90b00546),"Adventurer3031","DF5FCD4B57FE71A0527C386223351D14","Tour de Londres","14","1741098","38"
ObjectID(5c2f6163aed9643f90b00547),"siana5841","81D84C58C7C688EA9918852BE6CF8EBE","Tour Eiffel","28","615597714","77"
ObjectID(5c2f6166aed9643f90b00548),"Anubis1er","64EDBCE885A8D7D032A50DB4BC9D3E5D","Tour Eiffel","92","615660795","49"
ObjectID(5c2f6168aed9643f90b00549),"pirate932017","D1C754AFE90F61DEA73AF3127802D5AD","Tour Eiffel","12","615742144","98"
ObjectID(5c2f616baed9643f90b0054a),"kinoutod","32BDB5659AEA255A9AAADEE9C54FA183","Tour Eiffel","8","615925931","11"
ObjectID(5c2f616daed9643f90b0054b),"PHILIPPE-1420","9E14503640E78CF95F94BE01F480E627","Tour Eiffel","19","616056032","30"
ObjectID(5c2f6170aed9643f90b0054c),"oussama2388","F0D1DFD8F184DD9A79E023FAEEF6E780","Tour Eiffel","9","616085041","10"
ObjectID(5c2f6172aed9643f90b0054d),"357fannyg","1DDF3A9DA4DEA2C1C8E633E4E7A2FEA7","Tour Eiffel","7","616172997","13"
ObjectID(5c2f6175aed9643f90b0054e),"hugob857","D8891C77BD8BD591F7ACB6C58E282EAE","Tour Eiffel","3","616319446","3"
ObjectID(5c2f6178aed9643f90b0054f),"Sonorise","CDB7B3982A43C06666B10766B398D91C","Tour Eiffel","5","616365439","7"
ObjectID(5c2f617aaed9643f90b00550),"Gunners2687","107D51DC387D008A5B0B4F18E8418198","Tour Eiffel","52","615145575","212"
